order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,is_holiday,season,period,on_sale,year
2018-6-14,102,20810,306,407,offline,720,51,0,Summer,mid,0,
2018-6-14,102,21601,306,407,offline,594,106,0,Summer,mid,0,
2018-6-14,102,21845,302,408,offline,1206,57,0,Summer,mid,0,
2018-6-14,102,20018,306,407,offline,866,102,0,Summer,mid,0,
2018-6-14,102,21814,306,407,offline,741,105,0,Summer,mid,0,
2018-6-14,102,20018,306,407,offline,852,94,0,Summer,mid,0,
2018-6-14,102,20655,306,407,offline,1006,76,0,Summer,mid,0,
2018-6-14,102,20130,306,407,offline,1026,42,0,Summer,mid,0,
2018-6-14,102,20973,306,407,offline,604,302,0,Summer,mid,0,
2018-6-14,102,21467,306,407,offline,1353,47,0,Summer,mid,0,
2018-6-14,102,21490,306,407,offline,1157,28,0,Summer,mid,0,
2018-6-14,102,20655,306,407,offline,1006,57,0,Summer,mid,0,
2018-6-14,102,21271,306,407,offline,534,502,0,Summer,mid,0,
2018-6-14,102,21601,306,407,offline,590,208,0,Summer,mid,0,
2018-6-14,102,21814,306,407,offline,739,101,0,Summer,mid,0,
2018-6-14,102,20501,306,407,offline,777,77,0,Summer,mid,0,
2018-6-14,102,20834,302,408,offline,894,52,0,Summer,mid,0,
2018-6-14,102,21795,306,407,offline,1154,46,0,Summer,mid,0,
2018-6-14,102,21100,302,408,offline,3613,9,0,Summer,mid,0,
2018-6-14,102,21940,303,401,offline,7003,7,0,Summer,mid,0,
2018-6-14,102,20596,302,408,offline,2552,11,0,Summer,mid,0,
2018-6-14,102,20501,306,407,offline,1407,5,0,Summer,mid,0,
2018-6-14,102,21068,305,412,offline,329,83,0,Summer,mid,0,
2018-6-14,102,20587,306,407,offline,1911,5,0,Summer,mid,0,
2018-6-14,102,20412,306,407,offline,2209,5,0,Summer,mid,0,
2018-6-14,102,20993,306,407,offline,1412,10,0,Summer,mid,0,
2018-6-14,102,22027,306,402,offline,917,4,0,Summer,mid,0,
2018-6-14,102,21076,302,408,offline,3300,2,0,Summer,mid,0,
2018-6-14,102,20187,302,408,offline,4013,9,0,Summer,mid,0,
2018-6-14,102,20805,306,407,offline,811,313,0,Summer,mid,0,
2018-6-14,102,20661,302,408,offline,1813,12,0,Summer,mid,0,
2018-6-14,102,20973,306,407,offline,902,10,0,Summer,mid,0,
2018-6-14,102,20827,303,401,offline,6.01,7,0,Summer,mid,0,
2018-6-14,102,20886,303,410,offline,6483,5,0,Summer,mid,0,
2018-6-14,102,21601,306,407,offline,584,301,0,Summer,mid,0,
2018-6-14,102,20916,306,407,offline,561,209,0,Summer,mid,0,
2018-6-14,102,20960,306,407,offline,1037,99,0,Summer,mid,0,
2018-6-14,102,21076,302,408,offline,1512,24,0,Summer,mid,0,
2018-6-14,102,21681,302,408,offline,1369,6,0,Summer,mid,0,
2018-6-14,102,21330,303,401,offline,3508,2,0,Summer,mid,0,
