order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,is_holiday,season,period,on_sale,year
2018-9-29,101,22007,302,408,offline,861,58,0,Summer,end,0,
2018-9-29,101,21038,308,404,offline,2056,37,0,Summer,end,0,
2018-9-29,101,20696,305,412,offline,554,5,0,Summer,end,0,
2018-9-29,101,21913,306,407,online,1198,15,0,Summer,end,0,
2018-9-29,101,21913,306,407,online,1194,305,0,Summer,end,0,
2018-9-29,101,22053,306,407,online,941,6,0,Summer,end,0,
2018-9-29,101,20932,303,401,offline,1063,302,0,Summer,end,0,
2018-9-29,101,21123,303,406,offline,1203,7,0,Summer,end,0,
2018-9-29,101,20278,305,412,online,349,55,0,Summer,end,0,
2018-9-29,101,21779,307,403,offline,687,62,0,Summer,end,0,
2018-9-29,101,21845,302,408,offline,1248,8,0,Summer,end,0,
2018-9-29,101,20583,306,407,offline,521,3507,0,Summer,end,0,
2018-9-29,101,21290,305,412,online,243,103,0,Summer,end,0,
2018-9-29,101,20407,305,412,offline,605,10,0,Summer,end,0,
2018-9-29,101,22053,306,407,online,946,14,0,Summer,end,0,
2018-9-29,101,21617,303,401,offline,2501,6,0,Summer,end,0,
2018-9-29,101,20251,303,406,offline,1609,5,0,Summer,end,0,
2018-9-29,101,21653,306,407,online,1262,15,0,Summer,end,0,
2018-9-29,101,21076,302,408,offline,1505,5,0,Summer,end,0,
2018-9-29,101,20820,306,407,online,804,43,0,Summer,end,0,
2018-9-29,101,20433,305,412,offline,2006,21,0,Summer,end,0,
2018-9-29,101,20251,303,406,offline,1819,9,0,Summer,end,0,
2018-9-29,101,21619,306,402,offline,338,13,0,Summer,end,0,
2018-9-29,101,21617,303,401,offline,2452,27,0,Summer,end,0,
2018-9-29,101,20693,308,404,offline,756,38,0,Summer,end,0,
2018-9-29,101,20056,302,408,offline,2416,6,0,Summer,end,0,
2018-9-29,101,20596,302,408,offline,2556,10,0,Summer,end,0,
2018-9-29,101,20583,306,407,offline,501,306,0,Summer,end,0,
2018-9-29,101,20583,306,407,offline,506,6,0,Summer,end,0,
2018-9-29,101,20696,305,412,offline,552,11,0,Summer,end,0,
2018-9-29,101,20768,308,404,online,1254,464,0,Summer,end,0,
2018-9-29,101,20768,308,404,online,1259,9,0,Summer,end,0,
2018-9-29,101,21061,308,404,online,945,20,0,Summer,end,0,
2018-9-29,101,20631,307,403,online,489,102,0,Summer,end,0,
2018-9-29,101,20631,307,403,online,497,5,0,Summer,end,0,
2018-9-29,101,20041,302,408,online,1009,519,0,Summer,end,0,
2018-9-29,101,20820,306,407,online,796,2598,0,Summer,end,0,
2018-9-29,101,21653,306,407,online,1250,280,0,Summer,end,0,
2018-9-29,101,20655,306,407,offline,1047,7,0,Summer,end,0,
2018-9-29,101,20253,306,407,offline,529,288,0,Summer,end,0,
2018-9-29,101,20993,306,407,offline,751,7,0,Summer,end,0,
2018-9-29,101,22007,302,408,offline,879,7,0,Summer,end,0,
2018-9-29,101,22045,302,408,offline,1699,29,0,Summer,end,0,
2018-9-29,101,21023,306,407,offline,2164,11,0,Summer,end,0,
2018-9-29,101,21883,306,407,offline,657,202,0,Summer,end,0,
2018-9-29,101,21271,306,407,offline,535,61,0,Summer,end,0,
2018-9-29,101,20636,306,407,offline,976,16,0,Summer,end,0,
2018-9-29,101,20886,303,410,offline,6493,11,0,Summer,end,0,
2018-9-29,101,21394,306,407,offline,731,57,0,Summer,end,0,
2018-9-29,101,21068,305,412,offline,330,9,0,Summer,end,0,
2018-9-29,101,21467,306,407,offline,1358,9,0,Summer,end,0,
2018-9-29,101,20253,306,407,offline,542,9,0,Summer,end,0,
2018-9-29,101,20131,306,407,offline,724,4,0,Summer,end,0,
2018-9-29,101,20734,306,407,offline,1052,9,0,Summer,end,0,
2018-9-29,101,20501,306,407,offline,787,4,0,Summer,end,0,
2018-9-29,101,20540,303,401,offline,2715,38,0,Summer,end,0,
2018-9-29,101,20018,306,407,offline,859,12,0,Summer,end,0,
2018-9-29,101,20655,306,407,offline,1017,8,0,Summer,end,0,
2018-9-29,101,21974,306,407,offline,1197,6,0,Summer,end,0,
2018-9-29,101,21023,306,407,offline,2168,3,0,Summer,end,0,
2018-9-29,101,20131,306,407,offline,720,4,0,Summer,end,0,
2018-9-29,101,20808,306,407,offline,1469,10,0,Summer,end,0,
2018-9-29,101,20434,306,407,offline,1642,2,0,Summer,end,0,
2018-9-29,101,21974,306,407,offline,1202,8,0,Summer,end,0,
2018-9-29,101,20501,306,407,offline,784,4,0,Summer,end,0,
2018-9-29,101,21814,306,407,offline,747,4,0,Summer,end,0,
2018-9-29,101,21883,306,407,offline,656,58,0,Summer,end,0,
2018-9-29,101,22015,304,409,offline,4055,8,0,Summer,end,0,
2018-9-29,101,21260,301,405,offline,1210,13,0,Summer,end,0,
2018-9-29,101,20227,308,404,offline,1214,35,0,Summer,end,0,
2018-9-29,101,21507,306,407,offline,1116,7,0,Summer,end,0,
2018-9-29,101,20808,306,407,offline,1469,4,0,Summer,end,0,
2018-9-29,101,20973,306,407,offline,611,2,0,Summer,end,0,
2018-9-29,101,20016,303,401,offline,915,28,0,Summer,end,0,
2018-9-29,101,22046,305,412,offline,1339,4,0,Summer,end,0,
2018-9-29,101,20407,305,412,offline,602,13,0,Summer,end,0,
2018-9-29,101,21619,306,402,offline,330,5,0,Summer,end,0,
2018-9-29,101,20655,306,407,offline,1034,3,0,Summer,end,0,
2018-9-29,101,21507,306,407,offline,1117,63,0,Summer,end,0,
2018-9-29,101,20221,306,407,offline,1801,58,0,Summer,end,0,
2018-9-29,102,20252,306,407,offline,1292,4,0,Summer,end,0,
2018-9-29,101,21795,306,407,offline,1166,26,0,Summer,end,0,
2018-9-29,103,20973,306,407,offline,612,10,0,Summer,end,0,
2018-9-29,103,20932,303,401,offline,1053,404,0,Summer,end,0,
2018-9-29,103,20253,306,407,offline,534,302,0,Summer,end,0,
2018-9-29,103,21883,306,407,offline,654,52,0,Summer,end,0,
2018-9-29,103,22081,303,401,offline,2559,38,0,Summer,end,0,
2018-9-29,103,21501,306,407,offline,904,13,0,Summer,end,0,
2018-9-29,103,20346,306,407,offline,753,309,0,Summer,end,0,
2018-9-29,103,21036,303,406,offline,1616,7,0,Summer,end,0,
2018-9-29,103,20111,306,407,offline,713,18,0,Summer,end,0,
2018-9-29,102,20251,303,406,offline,1619,1,0,Summer,end,0,
2018-9-29,102,21978,307,403,offline,414,70,0,Summer,end,0,
2018-9-29,102,21978,307,403,offline,407,204,0,Summer,end,0,
2018-9-29,102,21978,307,403,offline,404,222,0,Summer,end,0,
2018-9-29,102,20721,306,407,offline,673,796,0,Summer,end,0,
2018-9-29,102,20766,306,407,offline,874,18,0,Summer,end,0,
2018-9-29,102,20253,306,407,offline,534,634,0,Summer,end,0,
2018-9-29,103,20253,306,407,offline,531,9,0,Summer,end,0,
2018-9-29,103,21757,303,406,offline,1508,5,0,Summer,end,0,
2018-9-29,103,21357,303,406,offline,1355,8,0,Summer,end,0,
2018-9-29,102,21238,308,404,offline,1563,107,0,Summer,end,0,
2018-9-29,102,20580,302,408,offline,895,78,0,Summer,end,0,
2018-9-29,101,20016,303,401,offline,930,16,0,Summer,end,0,
2018-9-29,102,21995,306,407,offline,815,59,0,Summer,end,0,
2018-9-29,102,21160,306,407,offline,1437,54,0,Summer,end,0,
2018-9-29,102,20227,308,404,offline,1201,107,0,Summer,end,0,
2018-9-29,102,21238,308,404,offline,1553,109,0,Summer,end,0,
2018-9-29,102,20089,307,403,offline,967,15,0,Summer,end,0,
2018-9-29,102,21995,306,407,offline,818,101,0,Summer,end,0,
2018-9-29,102,22081,303,401,offline,2569,11,0,Summer,end,0,
2018-9-29,102,20693,308,404,offline,776,3,0,Summer,end,0,
2018-9-29,102,20555,308,404,offline,1004,3,0,Summer,end,0,
2018-9-29,102,21978,307,403,offline,424,156,0,Summer,end,0,
2018-9-29,102,21779,307,403,offline,716,10,0,Summer,end,0,
2018-9-29,102,20433,305,412,offline,2074,16,0,Summer,end,0,
2018-9-29,102,20018,306,407,offline,939,7,0,Summer,end,0,
2018-9-29,102,20587,306,407,offline,1026,6,0,Summer,end,0,
2018-9-29,102,20283,306,407,offline,702,8,0,Summer,end,0,
2018-9-29,102,20357,301,405,offline,1009,28,0,Summer,end,0,
2018-9-29,102,20325,308,404,offline,1699,22,0,Summer,end,0,
2018-9-29,102,21238,308,404,offline,1566,11,0,Summer,end,0,
2018-9-29,102,21978,307,403,offline,405,203,0,Summer,end,0,
2018-9-29,102,20387,305,412,offline,892,21,0,Summer,end,0,
2018-9-29,102,21415,305,412,offline,692,21,0,Summer,end,0,
2018-9-29,102,20922,305,412,offline,1628,6,0,Summer,end,0,
2018-9-29,102,21703,305,412,offline,464,43,0,Summer,end,0,
2018-9-29,102,20457,305,412,offline,182,58,0,Summer,end,0,
2018-9-29,102,21068,305,412,offline,327,59,0,Summer,end,0,
2018-9-29,102,20366,302,408,offline,2706,14,0,Summer,end,0,
2018-9-29,102,21652,302,408,offline,2239,17,0,Summer,end,0,
2018-9-29,102,21437,302,408,offline,1098,28,0,Summer,end,0,
2018-9-29,102,20712,306,407,offline,845,34,0,Summer,end,0,
2018-9-29,102,20368,306,407,offline,658,148,0,Summer,end,0,
2018-9-29,102,20827,303,401,offline,837,36,0,Summer,end,0,
2018-9-29,102,20561,303,401,offline,1909,16,0,Summer,end,0,
2018-9-29,102,20786,303,401,offline,2234,21,0,Summer,end,0,
2018-9-29,102,20932,303,401,offline,1050,56,0,Summer,end,0,
2018-9-29,101,21398,308,404,offline,1716,34,0,Summer,end,0,
2018-9-29,101,20655,306,407,offline,1019,21,0,Summer,end,0,
2018-9-29,102,20696,305,412,offline,550,18,0,Summer,end,0,
2018-9-29,101,20993,306,407,offline,757,101,0,Summer,end,0,
2018-9-29,102,21903,305,412,offline,260,57,0,Summer,end,0,
2018-9-29,102,21437,302,408,offline,1107,53,0,Summer,end,0,
2018-9-29,102,21038,308,404,offline,2056,34,0,Summer,end,0,
2018-9-29,102,20561,303,401,offline,1904,25,0,Summer,end,0,
2018-9-29,102,20980,303,401,offline,1274,34,0,Summer,end,0,
2018-9-29,102,20720,303,401,offline,1136,85,0,Summer,end,0,
2018-9-29,102,20808,306,407,offline,1391,10,0,Summer,end,0,
2018-9-29,102,21911,306,407,offline,1007,3,0,Summer,end,0,
2018-9-29,102,22045,302,408,offline,1652,9,0,Summer,end,0,
2018-9-29,102,21437,302,408,offline,1114,12,0,Summer,end,0,
2018-9-29,102,20661,302,408,offline,922,18,0,Summer,end,0,
2018-9-29,102,21160,306,407,offline,1436,13,0,Summer,end,0,
2018-9-29,102,20816,306,407,offline,1513,5,0,Summer,end,0,
2018-9-29,102,20130,306,407,offline,1020,57,0,Summer,end,0,
2018-9-29,102,21995,306,407,offline,804,21,0,Summer,end,0,
2018-9-29,102,20636,306,407,offline,923,27,0,Summer,end,0,
2018-9-29,102,20901,303,410,offline,1561,8,0,Summer,end,0,
2018-9-29,102,21995,306,407,offline,809,4,0,Summer,end,0,
2018-9-29,102,21195,302,408,offline,1815,3,0,Summer,end,0,
2018-9-29,102,20515,305,412,offline,363,59,0,Summer,end,0,
2018-9-29,101,20131,306,407,offline,719,7,0,Summer,end,0,
2018-9-29,101,21271,306,407,offline,543,5,0,Summer,end,0,
2018-9-29,101,20973,306,407,offline,605,9,0,Summer,end,0,
2018-9-29,103,22059,305,412,offline,446.4,26,0,Summer,end,0,
2018-9-29,103,21777,302,408,offline,2125,15,0,Summer,end,0,
2018-9-29,103,20366,302,408,offline,2784,3,0,Summer,end,0,
2018-9-29,103,21195,302,408,offline,1862,10,0,Summer,end,0,
2018-9-29,103,20368,306,407,offline,673.55,45,0,Summer,end,0,
2018-9-29,103,21596,302,408,offline,1247,6,0,Summer,end,0,
2018-9-29,103,21109,302,408,offline,1402,13,0,Summer,end,0,
2018-9-29,103,21903,305,412,offline,259,31,0,Summer,end,0,
2018-9-29,103,20162,302,408,offline,1259,9,0,Summer,end,0,
2018-9-29,103,20016,303,401,offline,920,48,0,Summer,end,0,
2018-9-29,103,20433,305,412,offline,2073,34,0,Summer,end,0,
2018-9-29,103,21903,305,412,offline,248,107,0,Summer,end,0,
2018-9-29,103,21903,305,412,offline,258,41,0,Summer,end,0,
2018-9-29,103,21415,305,412,offline,706,59,0,Summer,end,0,
2018-9-29,103,21596,302,408,offline,1259,4,0,Summer,end,0,
2018-9-29,103,21109,302,408,offline,1403,8,0,Summer,end,0,
2018-9-29,103,20953,302,408,offline,1016,14,0,Summer,end,0,
2018-9-29,103,20515,305,412,offline,356,36,0,Summer,end,0,
2018-9-29,103,20433,305,412,offline,2073,25,0,Summer,end,0,
2018-9-29,103,22035,305,412,offline,2336.5,15,0,Summer,end,0,
2018-9-29,103,21757,303,406,offline,1511,7,0,Summer,end,0,
2018-9-29,103,21757,303,406,offline,1116,13,0,Summer,end,0,
2018-9-29,103,20782,303,406,offline,1767,2,0,Summer,end,0,
2018-9-29,103,20394,303,406,offline,1617,5,0,Summer,end,0,
2018-9-29,103,20251,303,406,offline,1608,5,0,Summer,end,0,
2018-9-29,103,20251,303,406,offline,1619,3,0,Summer,end,0,
2018-9-29,103,20428,303,401,online,411,81,0,Summer,end,0,
2018-9-29,103,21903,305,412,offline,262,72,0,Summer,end,0,
2018-9-29,103,21644,303,401,offline,253,3,0,Summer,end,0,
2018-9-29,103,20540,303,401,offline,2708,18,0,Summer,end,0,
2018-9-29,103,20973,306,407,offline,607,4,0,Summer,end,0,
2018-9-29,103,21757,303,406,offline,1709,9,0,Summer,end,0,
2018-9-29,103,21757,303,406,offline,1514,4,0,Summer,end,0,
2018-9-29,103,21424,306,407,offline,583,16,0,Summer,end,0,
2018-9-29,103,21437,302,408,offline,1146.85,56,0,Summer,end,0,
2018-9-29,103,21238,308,404,offline,1567,7,0,Summer,end,0,
2018-9-29,103,20932,303,401,offline,1066.45,103,0,Summer,end,0,
2018-9-29,103,21845,302,408,offline,1894.28,2,0,Summer,end,0,
2018-9-29,103,21123,303,406,offline,1203,2,0,Summer,end,0,
2018-9-29,103,20162,302,408,offline,1888.18,12,0,Summer,end,0,
2018-9-29,103,20661,302,408,offline,1244.192667,21,0,Summer,end,0,
2018-9-29,102,21903,305,412,offline,251,107,0,Summer,end,0,
2018-9-29,102,21415,305,412,offline,697,34,0,Summer,end,0,
2018-9-29,102,20583,306,407,offline,510,203,0,Summer,end,0,
2018-9-29,102,21596,302,408,offline,1107,31,0,Summer,end,0,
2018-9-29,102,20366,302,408,offline,2705,11,0,Summer,end,0,
2018-9-29,102,22007,302,408,offline,871,49,0,Summer,end,0,
2018-9-29,102,22045,302,408,offline,1663,22,0,Summer,end,0,
2018-9-29,102,20583,306,407,offline,501,155,0,Summer,end,0,
2018-9-29,102,21100,302,408,offline,1704,10,0,Summer,end,0,
2018-9-29,102,20661,302,408,offline,936,59,0,Summer,end,0,
2018-9-29,102,21076,302,408,offline,1518,36,0,Summer,end,0,
