order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,is_holiday,season,period,on_sale,year
2018-4-3,102,21681,302,408,offline,1355,9,0,Spring,begin,0,
2018-4-3,102,20809,302,408,offline,945,7,0,Spring,begin,0,
2018-4-3,102,21775,302,408,offline,1098,6,0,Spring,begin,0,
2018-4-3,102,22054,302,408,offline,885,2,0,Spring,begin,0,
2018-4-3,102,20193,302,408,offline,3556,2,0,Spring,begin,0,
2018-4-3,102,20791,302,408,offline,1005,6,0,Spring,begin,0,
2018-4-3,102,20090,302,408,offline,779,5,0,Spring,begin,0,
2018-4-3,102,20422,302,408,offline,2569,5,0,Spring,begin,0,
2018-4-3,102,21625,302,408,offline,1241,8,0,Spring,begin,0,
2018-4-3,102,21438,302,408,offline,3864,5,0,Spring,begin,0,
2018-4-3,102,20465,302,408,offline,2217,9,0,Spring,begin,0,
2018-4-3,102,21662,302,408,offline,1529,4,0,Spring,begin,0,
2018-4-3,102,20804,302,408,offline,917,8,0,Spring,begin,0,
2018-4-3,102,21050,302,408,offline,1421,1,0,Spring,begin,0,
2018-4-3,102,21044,302,408,offline,1148,3,0,Spring,begin,0,
2018-4-3,102,21027,302,408,offline,986,3,0,Spring,begin,0,
2018-4-3,102,20501,306,407,offline,793,2,0,Spring,begin,0,
2018-4-3,102,20766,306,407,offline,895,1,0,Spring,begin,0,
2018-4-3,102,20596,302,408,offline,2543,7,0,Spring,begin,0,
2018-4-3,102,21974,306,407,offline,1146,3,0,Spring,begin,0,
2018-4-3,102,20976,306,407,offline,1246,1,0,Spring,begin,0,
2018-4-3,102,20328,306,407,offline,894,6,0,Spring,begin,0,
2018-4-3,102,20587,306,407,offline,967,3,0,Spring,begin,0,
2018-4-3,102,20412,306,407,offline,1103,8,0,Spring,begin,0,
2018-4-3,102,20424,306,407,offline,1257,8,0,Spring,begin,0,
2018-4-3,102,20172,306,407,offline,1199,5,0,Spring,begin,0,
2018-4-3,102,21619,306,402,offline,331,5,0,Spring,begin,0,
2018-4-3,102,20834,302,408,offline,885,7,0,Spring,begin,0,
2018-4-3,102,21671,302,408,offline,2393,9,0,Spring,begin,0,
2018-4-3,102,21076,302,408,offline,1480,9,0,Spring,begin,0,
2018-4-3,102,20389,302,408,offline,1228,8,0,Spring,begin,0,
2018-4-3,102,20546,302,408,offline,1010,2,0,Spring,begin,0,
2018-4-3,102,20960,306,407,offline,1131,8,0,Spring,begin,0,
2018-4-3,102,20739,305,412,offline,1065,7,0,Spring,begin,0,
2018-4-3,102,20056,302,408,offline,2409,7,0,Spring,begin,0,
2018-4-3,102,20717,303,401,offline,2319,8,0,Spring,begin,0,
2018-4-3,102,20076,303,401,offline,1346,8,0,Spring,begin,0,
2018-4-3,102,20688,303,401,offline,1448,6,0,Spring,begin,0,
2018-4-3,102,20840,303,401,offline,2470,1,0,Spring,begin,0,
2018-4-3,102,21909,303,401,offline,2845,7,0,Spring,begin,0,
2018-4-3,102,20720,303,401,offline,1061,9,0,Spring,begin,0,
2018-4-3,102,20786,303,401,offline,2258,2,0,Spring,begin,0,
2018-4-3,102,20901,303,410,offline,1566,6,0,Spring,begin,0,
2018-4-3,102,20402,303,401,offline,549,3,0,Spring,begin,0,
2018-4-3,102,21644,303,401,offline,276,4,0,Spring,begin,0,
2018-4-3,102,20135,303,401,offline,847,9,0,Spring,begin,0,
2018-4-3,102,21271,306,407,offline,528,7,0,Spring,begin,0,
2018-4-3,102,21814,306,407,offline,745,1,0,Spring,begin,0,
2018-4-3,102,21221,306,407,offline,1566,12,0,Spring,begin,0,
2018-4-3,102,20700,306,407,offline,988,5,0,Spring,begin,0,
2018-4-3,102,21690,303,401,offline,698,6,0,Spring,begin,0,
2018-4-3,102,21170,302,408,offline,2411,9,0,Spring,begin,0,
2018-4-3,102,20118,305,412,offline,3051,4,0,Spring,begin,0,
2018-4-3,102,22035,305,412,offline,2276,6,0,Spring,begin,0,
2018-4-3,102,22056,302,408,offline,992,1,0,Spring,begin,0,
2018-4-3,102,22084,302,408,offline,1044,9,0,Spring,begin,0,
2018-4-3,102,22052,302,408,offline,2765,3,0,Spring,begin,0,
2018-4-3,102,21068,305,412,offline,323,9,0,Spring,begin,0,
2018-4-3,102,21920,305,412,offline,873,7,0,Spring,begin,0,
2018-4-3,102,20662,305,412,offline,259,1,0,Spring,begin,0,
2018-4-3,102,20189,305,412,offline,277,9,0,Spring,begin,0,
2018-4-3,102,21703,305,412,offline,462,7,0,Spring,begin,0,
2018-4-3,102,21379,305,412,offline,1132,6,0,Spring,begin,0,
2018-4-3,102,22046,305,412,offline,1341,8,0,Spring,begin,0,
2018-4-3,102,20134,305,412,offline,822,2,0,Spring,begin,0,
2018-4-3,102,20305,305,412,offline,752,6,0,Spring,begin,0,
2018-4-3,102,20879,305,412,offline,547,6,0,Spring,begin,0,
2018-4-3,102,21669,305,412,offline,782,3,0,Spring,begin,0,
2018-4-3,102,20433,305,412,offline,2021,6,0,Spring,begin,0,
2018-4-3,102,20459,305,412,offline,1810,7,0,Spring,begin,0,
2018-4-3,102,21942,306,407,offline,628,2,0,Spring,begin,0,
2018-4-3,103,21435,308,404,offline,489,75,0,Spring,begin,0,
2018-4-3,102,21883,306,407,offline,662,3,0,Spring,begin,0,
2018-4-3,102,20992,303,411,offline,2977,7,0,Spring,begin,0,
2018-4-3,102,21617,303,401,offline,2556,12,0,Spring,begin,0,
2018-4-3,102,21086,303,410,offline,593,19,0,Spring,begin,0,
2018-4-3,102,21969,303,410,offline,286,34,0,Spring,begin,0,
2018-4-3,102,21555,303,410,offline,5923,2,0,Spring,begin,0,
2018-4-3,103,20932,303,401,offline,1063,207,0,Spring,begin,0,
2018-4-3,102,20932,303,401,offline,1051,54,0,Spring,begin,0,
2018-4-3,103,21076,302,408,offline,1445,32,0,Spring,begin,0,
2018-4-3,102,21425,307,403,offline,546,58,0,Spring,begin,0,
2018-4-3,102,20531,307,403,offline,1232,33,0,Spring,begin,0,
2018-4-3,102,21779,307,403,offline,700,302,0,Spring,begin,0,
2018-4-3,102,20525,301,405,offline,882,21,0,Spring,begin,0,
2018-4-3,103,22038,306,407,offline,943,181,0,Spring,begin,0,
2018-4-3,103,20661,302,408,offline,933,62,0,Spring,begin,0,
2018-4-3,103,21271,306,407,offline,544,116,0,Spring,begin,0,
2018-4-3,102,21449,303,401,offline,1305,22,0,Spring,begin,0,
2018-4-3,101,20580,302,408,offline,886,106,0,Spring,begin,0,
2018-4-3,101,20704,307,403,offline,541,5,0,Spring,begin,0,
2018-4-3,101,20808,306,407,offline,1378,17,0,Spring,begin,0,
2018-4-3,102,21521,306,407,offline,925,10,0,Spring,begin,0,
2018-4-3,101,20993,306,407,offline,758,153,0,Spring,begin,0,
2018-4-3,101,21585,302,408,offline,1563,302,0,Spring,begin,0,
2018-4-3,101,21913,306,407,online,1153,2,0,Spring,begin,0,
2018-4-3,101,21913,306,407,online,1155,47,0,Spring,begin,0,
2018-4-3,101,20139,306,407,online,577,46,0,Spring,begin,0,
2018-4-3,101,21026,306,407,online,755,63,0,Spring,begin,0,
2018-4-3,101,22053,306,407,online,893,30,0,Spring,begin,0,
2018-4-3,101,20820,306,407,online,755,278,0,Spring,begin,0,
2018-4-3,101,20248,306,402,online,346,130,0,Spring,begin,0,
2018-4-3,101,20342,305,412,offline,189,509,0,Spring,begin,0,
2018-4-3,101,20461,303,406,offline,1953,10,0,Spring,begin,0,
2018-4-3,101,20504,307,403,offline,342,59,0,Spring,begin,0,
2018-4-3,101,20014,307,403,offline,392,79,0,Spring,begin,0,
2018-4-3,103,20953,302,408,offline,1007,61,0,Spring,begin,0,
2018-4-3,102,21394,306,407,offline,737,8,0,Spring,begin,0,
2018-4-3,103,22052,302,408,offline,2757,13,0,Spring,begin,0,
2018-4-3,103,21974,306,407,offline,1157,56,0,Spring,begin,0,
2018-4-3,102,20996,306,407,offline,495,3,0,Spring,begin,0,
2018-4-3,102,21657,306,407,offline,629,8,0,Spring,begin,0,
2018-4-3,102,20810,306,407,offline,786,8,0,Spring,begin,0,
2018-4-3,102,20916,306,407,offline,556,4,0,Spring,begin,0,
2018-4-3,102,20538,306,407,offline,2309,3,0,Spring,begin,0,
2018-4-3,102,21780,306,407,offline,2400,7,0,Spring,begin,0,
2018-4-3,102,21003,306,407,offline,703,6,0,Spring,begin,0,
2018-4-3,102,21853,306,407,offline,1721,9,0,Spring,begin,0,
2018-4-3,102,21284,306,407,offline,1026,3,0,Spring,begin,0,
2018-4-3,102,21390,306,407,offline,1033,4,0,Spring,begin,0,
2018-4-3,102,20700,306,407,offline,933,1,0,Spring,begin,0,
2018-4-3,102,21521,306,407,offline,922,8,0,Spring,begin,0,
2018-4-3,102,21537,306,407,offline,1512,6,0,Spring,begin,0,
2018-4-3,102,20969,306,407,offline,1363,3,0,Spring,begin,0,
2018-4-3,102,21221,306,407,offline,1615,1,0,Spring,begin,0,
2018-4-3,102,21271,306,407,offline,529,2,0,Spring,begin,0,
2018-4-3,102,20973,306,407,offline,592,1,0,Spring,begin,0,
2018-4-3,103,20461,303,406,offline,1213,2,0,Spring,begin,0,
2018-4-3,103,20808,306,407,offline,1379,28,0,Spring,begin,0,
2018-4-3,103,21394,306,407,offline,707,18,0,Spring,begin,0,
2018-4-3,103,20501,306,407,offline,783,372,0,Spring,begin,0,
2018-4-3,103,20766,306,407,offline,889,7,0,Spring,begin,0,
2018-4-3,103,21974,306,407,offline,1144,106,0,Spring,begin,0,
2018-4-3,103,22038,306,407,offline,920,28,0,Spring,begin,0,
2018-4-3,103,20172,306,407,offline,1098,58,0,Spring,begin,0,
2018-4-3,103,20773,303,401,online,2414,5,0,Spring,begin,0,
2018-4-3,103,20593,303,401,online,1858,6,0,Spring,begin,0,
2018-4-3,103,20283,306,407,offline,673,108,0,Spring,begin,0,
2018-4-3,103,20457,305,412,offline,191,253,0,Spring,begin,0,
2018-4-3,103,21274,305,412,offline,241,607,0,Spring,begin,0,
2018-4-3,103,21484,305,412,offline,332,58,0,Spring,begin,0,
2018-4-3,103,20283,306,407,offline,678,160,0,Spring,begin,0,
2018-4-3,103,20002,303,406,offline,1312,9,0,Spring,begin,0,
2018-4-3,103,20932,303,401,offline,1062,86,0,Spring,begin,0,
2018-4-3,102,21712,306,407,offline,1378,5,0,Spring,begin,0,
2018-4-3,105,21081,307,403,online,496,115,0,Spring,begin,0,
2018-4-3,102,21394,306,407,offline,732,7,0,Spring,begin,0,
2018-4-3,105,20452,301,405,online,1855,2,0,Spring,begin,0,
2018-4-3,105,20944,301,405,online,740,51,0,Spring,begin,0,
2018-4-3,105,20352,305,412,online,545,68,0,Spring,begin,0,
2018-4-3,105,21229,305,412,online,299.3,351,0,Spring,begin,0,
2018-4-3,105,20206,305,412,online,880,11,0,Spring,begin,0,
2018-4-3,105,21118,305,412,online,624,40,0,Spring,begin,0,
2018-4-3,105,20003,301,405,online,1041,58,0,Spring,begin,0,
2018-4-3,105,20058,303,401,online,1447,2,0,Spring,begin,0,
2018-4-3,105,20683,302,408,online,1014,16,0,Spring,begin,0,
2018-4-3,105,20152,305,412,online,257,10,0,Spring,begin,0,
2018-4-3,105,20396,305,412,online,397,3,0,Spring,begin,0,
2018-4-3,105,21443,305,412,online,1011,4,0,Spring,begin,0,
2018-4-3,105,20139,306,407,online,629,3,0,Spring,begin,0,
2018-4-3,105,21026,306,407,online,814.6,9,0,Spring,begin,0,
2018-4-3,105,20103,303,401,online,3210,2,0,Spring,begin,0,
2018-4-3,105,20911,301,405,online,1521,4,0,Spring,begin,0,
2018-4-3,105,21801,301,405,online,962,9,0,Spring,begin,0,
2018-4-3,105,21157,308,404,online,1411,16,0,Spring,begin,0,
2018-4-3,105,20504,307,403,online,384,7,0,Spring,begin,0,
2018-4-3,105,20492,307,403,online,394,11,0,Spring,begin,0,
2018-4-3,105,20127,307,403,online,776,47,0,Spring,begin,0,
2018-4-3,105,20896,307,403,online,540,12,0,Spring,begin,0,
2018-4-3,105,20631,307,403,online,549,16,0,Spring,begin,0,
2018-4-3,105,20600,307,403,online,539.7,87,0,Spring,begin,0,
2018-4-3,105,20512,308,404,online,1759,91,0,Spring,begin,0,
2018-4-3,105,20763,308,404,online,1409,15,0,Spring,begin,0,
2018-4-3,105,21446,308,404,online,2112,9,0,Spring,begin,0,
2018-4-3,105,21061,308,404,online,1107,36,0,Spring,begin,0,
2018-4-3,105,20865,308,404,online,1614,7,0,Spring,begin,0,
2018-4-3,105,20768,308,404,online,1544,18,0,Spring,begin,0,
2018-4-3,105,20074,308,404,online,2016,21,0,Spring,begin,0,
2018-4-3,105,21016,308,404,online,1197,7,0,Spring,begin,0,
2018-4-3,105,20929,308,404,online,3015,20,0,Spring,begin,0,
2018-4-3,105,21304,302,408,online,899.6,5,0,Spring,begin,0,
2018-4-3,105,21326,307,403,online,499,20,0,Spring,begin,0,
2018-4-3,102,20527,303,406,offline,1906,9,0,Spring,begin,0,
2018-4-3,102,21086,303,410,offline,581,24,0,Spring,begin,0,
2018-4-3,103,20810,306,407,offline,764,74,0,Spring,begin,0,
2018-4-3,103,20932,303,401,offline,1052,107,0,Spring,begin,0,
2018-4-3,101,21617,303,401,offline,2559,101,0,Spring,begin,0,
2018-4-3,101,21940,303,401,offline,3010,33,0,Spring,begin,0,
2018-4-3,103,20976,306,407,offline,1244,32,0,Spring,begin,0,
2018-4-3,103,20221,306,407,offline,1795,36,0,Spring,begin,0,
2018-4-3,103,21249,307,403,offline,361,206,0,Spring,begin,0,
2018-4-3,103,20018,306,407,offline,868,296,0,Spring,begin,0,
2018-4-3,103,21044,302,408,offline,1160,29,0,Spring,begin,0,
2018-4-3,103,21540,302,408,offline,1215,85,0,Spring,begin,0,
2018-4-3,105,20452,301,405,online,1524,19,0,Spring,begin,0,
2018-4-3,105,21731,301,405,online,494,109,0,Spring,begin,0,
2018-4-3,105,21081,307,403,online,466,158,0,Spring,begin,0,
2018-4-3,101,22038,306,407,offline,916,514,0,Spring,begin,0,
2018-4-3,103,21076,302,408,offline,1443,13,0,Spring,begin,0,
2018-4-3,103,20224,307,403,offline,693,156,0,Spring,begin,0,
2018-4-3,103,21215,303,401,offline,2818,9,0,Spring,begin,0,
2018-4-3,103,20932,303,401,offline,985,533,0,Spring,begin,0,
2018-4-3,102,20443,303,410,offline,1652,12,0,Spring,begin,0,
2018-4-3,102,21409,303,410,offline,6713,8,0,Spring,begin,0,
2018-4-3,101,21768,307,403,offline,1414,9,0,Spring,begin,0,
2018-4-3,101,20006,307,403,offline,611,7,0,Spring,begin,0,
2018-4-3,101,20763,308,404,offline,1127,11,0,Spring,begin,0,
2018-4-3,101,20313,305,412,online,761,4,0,Spring,begin,0,
2018-4-3,105,20668,304,409,offline,1408,15,0,Spring,begin,0,
2018-4-3,105,20740,304,409,offline,1120,398,0,Spring,begin,0,
2018-4-3,105,20284,304,409,offline,969,146,0,Spring,begin,0,
2018-4-3,105,20343,304,409,offline,955,37,0,Spring,begin,0,
2018-4-3,105,20261,304,409,offline,1439,211,0,Spring,begin,0,
2018-4-3,105,22015,304,409,offline,3557,7,0,Spring,begin,0,
2018-4-3,103,20252,306,407,offline,1173,108,0,Spring,begin,0,
2018-4-3,103,20419,306,407,offline,866,102,0,Spring,begin,0,
2018-4-3,103,20587,306,407,offline,959,136,0,Spring,begin,0,
2018-4-3,102,21644,303,401,offline,297,28,0,Spring,begin,0,
2018-4-3,102,21883,306,407,offline,652,7,0,Spring,begin,0,
