order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,is_holiday,season,period,on_sale,year
2017-12-27,102,21284,306,407,offline,894,7,0,Winter,end,0,2017
2017-12-27,102,20220,306,407,offline,692,5,0,Winter,end,0,2017
2017-12-27,102,21394,306,407,offline,662,2,0,Winter,end,0,2017
2017-12-27,102,20172,306,407,offline,1193,5,0,Winter,end,0,2017
2017-12-27,102,20501,306,407,offline,727,8,0,Winter,end,0,2017
2017-12-27,102,21974,306,407,offline,1097,9,0,Winter,end,0,2017
2017-12-27,102,20587,306,407,offline,925,10,0,Winter,end,0,2017
2017-12-27,103,20973,306,407,offline,563,10,0,Winter,end,0,2017
2017-12-27,103,21271,306,407,offline,503,6,0,Winter,end,0,2017
2017-12-27,103,21617,303,401,offline,2513,8,0,Winter,end,0,2017
2017-12-27,102,21221,306,407,offline,1438,8,0,Winter,end,0,2017
2017-12-27,102,20501,306,407,offline,791,9,0,Winter,end,0,2017
2017-12-27,102,22038,306,407,offline,910,7,0,Winter,end,0,2017
2017-12-27,102,20276,306,407,offline,698,5,0,Winter,end,0,2017
2017-12-27,102,21995,306,407,offline,753,6,0,Winter,end,0,2017
2017-12-27,102,20096,306,407,offline,950,8,0,Winter,end,0,2017
2017-12-27,102,20973,306,407,offline,535,9,0,Winter,end,0,2017
2017-12-27,102,20542,302,408,offline,672,5,0,Winter,end,0,2017
2017-12-27,102,20501,306,407,offline,727,2,0,Winter,end,0,2017
2017-12-27,102,21394,306,407,offline,672,6,0,Winter,end,0,2017
2017-12-27,102,21561,306,407,offline,741,8,0,Winter,end,0,2017
2017-12-27,102,22041,306,407,offline,805,6,0,Winter,end,0,2017
2017-12-27,102,20650,306,407,offline,733,4,0,Winter,end,0,2017
2017-12-27,102,20230,306,407,offline,861,6,0,Winter,end,0,2017
2017-12-27,102,21003,306,407,offline,602,4,0,Winter,end,0,2017
2017-12-27,102,21271,306,407,offline,466,10,0,Winter,end,0,2017
2017-12-27,102,20973,306,407,offline,545,3,0,Winter,end,0,2017
2017-12-27,102,21738,308,404,offline,1752,42,0,Winter,end,0,2017
2017-12-27,102,20960,306,407,offline,1130,4,0,Winter,end,0,2017
2017-12-27,102,21610,306,407,offline,609,4,0,Winter,end,0,2017
2017-12-27,102,20389,302,408,offline,1218,9,0,Winter,end,0,2017
2017-12-27,102,20688,303,401,offline,1411,25,0,Winter,end,0,2017
2017-12-27,102,20786,303,401,offline,2255,23,0,Winter,end,0,2017
2017-12-27,102,20720,303,401,offline,1057,51,0,Winter,end,0,2017
2017-12-27,102,21462,308,404,offline,2362,259,0,Winter,end,0,2017
2017-12-27,102,20402,303,401,offline,563,13,0,Winter,end,0,2017
2017-12-27,102,20840,303,401,offline,2469,20,0,Winter,end,0,2017
2017-12-27,102,20459,305,412,offline,1819,7,0,Winter,end,0,2017
2017-12-27,102,21669,305,412,offline,778,24,0,Winter,end,0,2017
2017-12-27,102,20134,305,412,offline,829,10,0,Winter,end,0,2017
2017-12-27,102,21703,305,412,offline,457,14,0,Winter,end,0,2017
2017-12-27,102,20189,305,412,offline,276,17,0,Winter,end,0,2017
2017-12-27,102,21920,305,412,offline,870,11,0,Winter,end,0,2017
2017-12-27,102,22052,302,408,offline,2695,6,0,Winter,end,0,2017
2017-12-27,102,22084,302,408,offline,1017,32,0,Winter,end,0,2017
2017-12-27,102,21662,302,408,offline,1542,20,0,Winter,end,0,2017
2017-12-27,102,20465,302,408,offline,2229,21,0,Winter,end,0,2017
2017-12-27,102,21558,302,408,offline,5215,6,0,Winter,end,0,2017
2017-12-27,102,21625,302,408,offline,1250,9,0,Winter,end,0,2017
2017-12-27,102,20193,302,408,offline,3571,9,0,Winter,end,0,2017
2017-12-27,102,20791,302,408,offline,992,8,0,Winter,end,0,2017
2017-12-27,102,20804,302,408,offline,920,5,0,Winter,end,0,2017
2017-12-27,102,20809,302,408,offline,917,11,0,Winter,end,0,2017
2017-12-27,102,21050,302,408,offline,1420,4,0,Winter,end,0,2017
2017-12-27,102,20784,302,408,offline,2071,10,0,Winter,end,0,2017
2017-12-27,102,21261,306,407,offline,3849,4,0,Winter,end,0,2017
2017-12-27,102,21775,302,408,offline,1076,2,0,Winter,end,0,2017
2017-12-27,102,20834,302,408,offline,892,5,0,Winter,end,0,2017
2017-12-27,102,20976,306,407,offline,1232,2,0,Winter,end,0,2017
2017-12-27,102,20501,306,407,offline,781,7,0,Winter,end,0,2017
2017-12-27,102,21942,306,407,offline,633,9,0,Winter,end,0,2017
2017-12-27,102,21390,306,407,offline,983,3,0,Winter,end,0,2017
2017-12-27,102,20717,303,401,offline,2321,8,0,Winter,end,0,2017
