order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,is_holiday,season,period,on_sale,year
2017-06-01,105,21067,302,408,online,1680,22,0,Summer,begin,0,2017
2017-06-01,105,21304,302,408,online,925,43,0,Summer,begin,0,2017
2017-06-01,105,20066,302,408,online,1026,11,0,Summer,begin,0,2017
2017-06-01,105,20799,302,408,online,1779,14,0,Summer,begin,0,2017
2017-06-01,105,20408,302,408,online,1274,11,0,Summer,begin,0,2017
2017-06-01,105,21770,302,408,online,1020,16,0,Summer,begin,0,2017
2017-06-01,105,21446,308,404,online,1993,39,0,Summer,begin,0,2017
2017-06-01,105,20865,308,404,online,1534,13,0,Summer,begin,0,2017
2017-06-01,105,20466,302,408,online,1267,21,0,Summer,begin,0,2017
2017-06-01,105,21973,308,404,online,2748,61,0,Summer,begin,0,2017
2017-06-01,105,21127,302,408,online,1524,16,0,Summer,begin,0,2017
2017-06-01,105,21391,302,408,online,1267,12,0,Summer,begin,0,2017
2017-06-01,105,21365,306,407,online,1265,17,0,Summer,begin,0,2017
2017-06-01,105,20747,302,408,online,1326,50,0,Summer,begin,0,2017
2017-06-01,105,20210,302,408,online,1147,46,0,Summer,begin,0,2017
2017-06-01,105,21715,302,408,online,1015,54,0,Summer,begin,0,2017
2017-06-01,105,20248,306,402,online,401,32,0,Summer,begin,0,2017
2017-06-01,105,21619,306,402,online,333,69,0,Summer,begin,0,2017
2017-06-01,105,20229,306,407,online,1604,21,0,Summer,begin,0,2017
2017-06-01,105,21946,306,407,online,1435,18,0,Summer,begin,0,2017
2017-06-01,105,21253,306,407,online,800,42,0,Summer,begin,0,2017
2017-06-01,105,21103,306,407,online,842,162,0,Summer,begin,0,2017
2017-06-01,105,21359,306,407,online,972,141,0,Summer,begin,0,2017
2017-06-01,105,21356,306,407,online,1193,45,0,Summer,begin,0,2017
2017-06-01,105,21016,308,404,online,1126,9,0,Summer,begin,0,2017
2017-06-01,105,21840,302,408,online,1684,4,0,Summer,begin,0,2017
2017-06-01,105,20044,308,404,online,2456,16,0,Summer,begin,0,2017
2017-06-01,105,21253,306,407,online,702,173,0,Summer,begin,0,2017
2017-06-01,105,21001,305,412,online,970,107,0,Summer,begin,0,2017
2017-06-01,105,20937,308,404,online,2168,146,0,Summer,begin,0,2017
2017-06-01,105,21264,308,404,online,1664,120,0,Summer,begin,0,2017
2017-06-01,105,20678,303,401,online,1232,106,0,Summer,begin,0,2017
2017-06-01,105,22058,302,408,online,1380,9,0,Summer,begin,0,2017
2017-06-01,105,21156,302,408,online,1228,145,0,Summer,begin,0,2017
2017-06-01,105,21715,302,408,online,906,121,0,Summer,begin,0,2017
2017-06-01,105,21619,306,402,online,302,7,0,Summer,begin,0,2017
2017-06-01,105,21750,306,407,online,1220,335,0,Summer,begin,0,2017
2017-06-01,105,21810,306,407,online,1470,15,0,Summer,begin,0,2017
2017-06-01,105,21359,306,407,online,850,132,0,Summer,begin,0,2017
2017-06-01,105,21255,306,407,online,969,14,0,Summer,begin,0,2017
2017-06-01,105,20139,306,407,online,573,18,0,Summer,begin,0,2017
2017-06-01,105,20213,305,412,online,1084,204,0,Summer,begin,0,2017
2017-06-01,105,21253,306,407,online,686,55,0,Summer,begin,0,2017
2017-06-01,105,20405,302,408,online,1540,11,0,Summer,begin,0,2017
2017-06-01,105,21304,302,408,online,823,10,0,Summer,begin,0,2017
2017-06-01,105,20582,302,408,online,929,716,0,Summer,begin,0,2017
2017-06-01,105,20248,306,402,online,326,11,0,Summer,begin,0,2017
2017-06-01,105,21212,306,407,online,738,72,0,Summer,begin,0,2017
2017-06-01,105,21562,306,407,online,573,351,0,Summer,begin,0,2017
2017-06-01,105,20650,306,407,online,817,15,0,Summer,begin,0,2017
2017-06-01,105,21819,306,402,online,291,35,0,Summer,begin,0,2017
2017-06-01,105,21619,306,402,online,287,227,0,Summer,begin,0,2017
