order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,is_holiday,season,period,on_sale,year
2017-11-8,102,21027,302,408,offline,970,2,0,Winter,begin,0,2017
2017-11-8,102,21076,302,408,offline,1486,5,0,Winter,begin,0,2017
2017-11-8,102,21076,302,408,offline,1478,3,0,Winter,begin,0,2017
2017-11-8,102,20328,306,407,offline,889,4,0,Winter,begin,0,2017
2017-11-8,102,20587,306,407,offline,956,7,0,Winter,begin,0,2017
2017-11-8,102,21974,306,407,offline,1124,10,0,Winter,begin,0,2017
2017-11-8,102,20960,306,407,offline,1124,9,0,Winter,begin,0,2017
2017-11-8,102,20422,302,408,offline,2532,5,0,Winter,begin,0,2017
2017-11-8,102,20443,303,410,offline,1582,16,0,Winter,begin,0,2017
2017-11-8,102,21068,305,412,offline,322,5,0,Winter,begin,0,2017
2017-11-8,102,22046,305,412,offline,1356,10,0,Winter,begin,0,2017
2017-11-8,102,20657,303,410,offline,3450,11,0,Winter,begin,0,2017
2017-11-8,102,20459,305,412,offline,1819,2,0,Winter,begin,0,2017
2017-11-8,102,21909,303,401,offline,2833,2,0,Winter,begin,0,2017
2017-11-8,102,20328,306,407,offline,901,6,0,Winter,begin,0,2017
2017-11-8,102,20587,306,407,offline,957,9,0,Winter,begin,0,2017
2017-11-8,102,20501,306,407,offline,792,7,0,Winter,begin,0,2017
2017-11-8,102,22052,302,408,offline,2683,6,0,Winter,begin,0,2017
2017-11-8,102,20786,303,401,offline,2246,7,0,Winter,begin,0,2017
2017-11-8,103,21484,305,412,offline,322,78,0,Winter,begin,0,2017
2017-11-8,102,21284,306,407,offline,1023,6,0,Winter,begin,0,2017
2017-11-8,102,20014,307,403,offline,373,108,0,Winter,begin,0,2017
2017-11-8,102,20996,306,407,offline,483,8,0,Winter,begin,0,2017
2017-11-8,102,21969,303,410,offline,255,40,0,Winter,begin,0,2017
2017-11-8,102,21731,301,405,offline,452,163,0,Winter,begin,0,2017
