order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,is_holiday,season,period,on_sale,year
2017-3-5,105,20413,306,407,online,974,113,0,Spring,begin,0,2017
2017-3-5,103,20283,306,407,offline,601,88,0,Spring,begin,0,2017
2017-3-5,105,22080,306,407,online,827,86,0,Spring,begin,0,2017
2017-3-5,105,21373,306,407,online,1145,23,0,Spring,begin,0,2017
2017-3-5,103,21775,302,408,offline,1004,118,0,Spring,begin,0,2017
2017-3-5,103,20700,306,407,offline,861,26,0,Spring,begin,0,2017
2017-3-5,105,21913,306,407,online,1345,19,0,Spring,begin,0,2017
2017-3-5,105,20265,306,407,online,594,158,0,Spring,begin,0,2017
2017-3-5,103,22028,305,412,offline,345,59,0,Spring,begin,0,2017
2017-3-5,103,20956,307,403,offline,997,17,0,Spring,begin,0,2017
2017-3-5,103,20135,303,401,offline,758,106,0,Spring,begin,0,2017
2017-3-5,103,20016,303,401,offline,784,27,0,Spring,begin,0,2017
2017-3-5,103,20396,305,412,offline,252,403,0,Spring,begin,0,2017
2017-3-5,103,20313,305,412,offline,735,39,0,Spring,begin,0,2017
2017-3-5,103,21771,305,412,offline,217,164,0,Spring,begin,0,2017
2017-3-5,105,20560,306,407,online,982,36,0,Spring,begin,0,2017
2017-3-5,102,21995,306,407,offline,741,21,0,Spring,begin,0,2017
2017-3-5,102,20220,306,407,offline,718,203,0,Spring,begin,0,2017
2017-3-5,102,21739,306,407,offline,811,332,0,Spring,begin,0,2017
2017-3-5,103,20227,308,404,offline,908,204,0,Spring,begin,0,2017
2017-3-5,105,20139,306,407,online,599,19,0,Spring,begin,0,2017
2017-3-5,105,20399,302,408,online,889,136,0,Spring,begin,0,2017
2017-3-5,105,20633,306,407,online,1418,5,0,Spring,begin,0,2017
2017-3-5,105,21636,307,403,online,434,38,0,Spring,begin,0,2017
2017-3-5,103,22017,301,405,offline,691,9,0,Spring,begin,0,2017
2017-3-5,105,21326,307,403,online,438,92,0,Spring,begin,0,2017
2017-3-5,105,22021,307,403,online,523,14,0,Spring,begin,0,2017
2017-3-5,105,21183,307,403,online,528,45,0,Spring,begin,0,2017
2017-3-5,105,20006,307,403,online,766,11,0,Spring,begin,0,2017
2017-3-5,105,21744,302,408,online,635,69,0,Spring,begin,0,2017
2017-3-5,105,20977,302,408,online,553,8,0,Spring,begin,0,2017
2017-3-5,105,20591,302,408,online,545,110,0,Spring,begin,0,2017
2017-3-5,105,21026,306,407,online,851,284,0,Spring,begin,0,2017
2017-3-5,105,21067,302,408,online,1604,58,0,Spring,begin,0,2017
2017-3-5,105,20747,302,408,online,1265,119,0,Spring,begin,0,2017
2017-3-5,105,21715,302,408,online,1022,368,0,Spring,begin,0,2017
2017-3-5,105,20168,302,408,online,1179,62,0,Spring,begin,0,2017
2017-3-5,105,21936,302,408,online,994,36,0,Spring,begin,0,2017
2017-3-5,105,20248,306,402,online,391,17,0,Spring,begin,0,2017
2017-3-5,105,21619,306,402,online,342,67,0,Spring,begin,0,2017
2017-3-5,105,21253,306,407,online,769,17,0,Spring,begin,0,2017
2017-3-5,105,21573,306,407,online,1021,34,0,Spring,begin,0,2017
2017-3-5,105,20497,306,407,online,1178,13,0,Spring,begin,0,2017
2017-3-5,105,21840,302,408,online,1606,25,0,Spring,begin,0,2017
2017-3-5,103,20135,303,401,offline,751,24,0,Spring,begin,0,2017
2017-3-5,102,20360,303,401,offline,1539,5,0,Spring,begin,0,2017
2017-3-5,103,20988,303,401,offline,452,45,0,Spring,begin,0,2017
2017-3-5,102,21712,306,407,offline,1322,152,0,Spring,begin,0,2017
2017-3-5,102,21221,306,407,offline,1491,17,0,Spring,begin,0,2017
2017-3-5,102,21297,306,407,offline,1279,39,0,Spring,begin,0,2017
2017-3-5,102,20230,306,407,offline,913,102,0,Spring,begin,0,2017
2017-3-5,102,21238,308,404,offline,1486,29,0,Spring,begin,0,2017
2017-3-5,102,21712,306,407,offline,1333,105,0,Spring,begin,0,2017
2017-3-5,102,21381,306,407,offline,1086,123,0,Spring,begin,0,2017
2017-3-5,102,21027,302,408,offline,894,58,0,Spring,begin,0,2017
2017-3-5,102,21297,306,407,offline,1214,106,0,Spring,begin,0,2017
2017-3-5,102,21920,305,412,offline,796,42,0,Spring,begin,0,2017
2017-3-5,102,21325,303,401,offline,1193,43,0,Spring,begin,0,2017
2017-3-5,101,21929,308,404,offline,566,7,0,Spring,begin,0,2017
2017-3-5,101,20008,303,401,offline,586,29,0,Spring,begin,0,2017
2017-3-5,101,20717,303,401,offline,2165,154,0,Spring,begin,0,2017
2017-3-5,101,21619,306,402,offline,268,252,0,Spring,begin,0,2017
2017-3-5,101,21712,306,407,offline,1257,145,0,Spring,begin,0,2017
2017-3-5,101,21521,306,407,offline,756,47,0,Spring,begin,0,2017
2017-3-5,101,21284,306,407,offline,903,117,0,Spring,begin,0,2017
2017-3-5,105,21524,307,403,online,451,3,0,Spring,begin,0,2017
2017-3-5,101,21381,306,407,offline,1028,90,0,Spring,begin,0,2017
2017-3-5,101,20665,308,404,offline,546,177,0,Spring,begin,0,2017
2017-3-5,103,21644,303,401,offline,242,28,0,Spring,begin,0,2017
2017-3-5,102,20021,305,412,offline,1055,103,0,Spring,begin,0,2017
2017-3-5,102,21920,305,412,offline,787,25,0,Spring,begin,0,2017
2017-3-5,103,20008,303,401,offline,580,21,0,Spring,begin,0,2017
2017-3-5,103,20316,301,405,offline,993,9,0,Spring,begin,0,2017
2017-3-5,103,20665,308,404,offline,538,162,0,Spring,begin,0,2017
2017-3-5,103,20742,308,404,offline,1256,13,0,Spring,begin,0,2017
2017-3-5,103,20956,307,403,offline,961,206,0,Spring,begin,0,2017
2017-3-5,103,21425,307,403,offline,434,15,0,Spring,begin,0,2017
2017-3-5,103,20227,308,404,offline,911,118,0,Spring,begin,0,2017
2017-3-5,103,20988,303,401,offline,446,42,0,Spring,begin,0,2017
2017-3-5,103,20360,303,401,offline,1536,46,0,Spring,begin,0,2017
2017-3-5,102,21068,305,412,offline,287,58,0,Spring,begin,0,2017
2017-3-5,103,20688,303,401,offline,1324,102,0,Spring,begin,0,2017
2017-3-5,103,20717,303,401,offline,2164,104,0,Spring,begin,0,2017
2017-3-5,102,21775,302,408,offline,1001,7,0,Spring,begin,0,2017
2017-3-5,102,21381,306,407,offline,1013,46,0,Spring,begin,0,2017
2017-3-5,102,20283,306,407,offline,630,105,0,Spring,begin,0,2017
2017-3-5,102,20717,303,401,offline,2153,108,0,Spring,begin,0,2017
2017-3-5,102,22059,305,412,offline,411,37,0,Spring,begin,0,2017
2017-3-5,102,20879,305,412,offline,509,29,0,Spring,begin,0,2017
2017-3-5,102,22046,305,412,offline,1259,59,0,Spring,begin,0,2017
2017-3-5,102,21274,305,412,offline,206,202,0,Spring,begin,0,2017
2017-3-5,103,20076,303,401,offline,1226,127,0,Spring,begin,0,2017
2017-3-5,105,20512,308,404,online,1651,18,0,Spring,begin,0,2017
2017-3-5,101,21804,307,403,offline,354,501,0,Spring,begin,0,2017
2017-3-5,105,21061,308,404,online,962,571,0,Spring,begin,0,2017
2017-3-5,105,20527,303,406,offline,1755,7,0,Spring,begin,0,2017
2017-3-5,105,20740,304,409,offline,1120,6,0,Spring,begin,0,2017
2017-3-5,105,21247,304,409,offline,1565,9,0,Spring,begin,0,2017
2017-3-5,105,20367,304,409,offline,1558,14,0,Spring,begin,0,2017
2017-3-5,101,21986,301,405,offline,321,552,0,Spring,begin,0,2017
2017-3-5,101,20545,305,412,offline,99,539,0,Spring,begin,0,2017
2017-3-5,101,20665,308,404,offline,531,509,0,Spring,begin,0,2017
2017-3-5,101,21422,308,404,offline,740,92,0,Spring,begin,0,2017
2017-3-5,101,21929,308,404,offline,626,90,0,Spring,begin,0,2017
2017-3-5,101,20531,307,403,offline,1139,58,0,Spring,begin,0,2017
2017-3-5,101,20492,307,403,offline,295,58,0,Spring,begin,0,2017
2017-3-5,101,20719,307,403,offline,644,58,0,Spring,begin,0,2017
2017-3-5,101,21126,307,403,offline,633,13,0,Spring,begin,0,2017
2017-3-5,101,21549,307,403,offline,359,771,0,Spring,begin,0,2017
2017-3-5,101,21470,307,403,offline,485,151,0,Spring,begin,0,2017
2017-3-5,101,20800,307,403,offline,812,203,0,Spring,begin,0,2017
2017-3-5,101,20016,303,401,offline,776,104,0,Spring,begin,0,2017
2017-3-5,102,21920,305,412,offline,782,35,0,Spring,begin,0,2017
2017-3-5,102,20706,303,401,offline,1204,11,0,Spring,begin,0,2017
2017-3-5,105,20002,303,406,offline,1953,4,0,Spring,begin,0,2017
2017-3-5,103,21804,307,403,offline,368,642,0,Spring,begin,0,2017
2017-3-5,103,21664,307,403,offline,368,302,0,Spring,begin,0,2017
2017-3-5,103,20606,308,404,offline,1731,96,0,Spring,begin,0,2017
2017-3-5,101,21297,306,407,offline,1207,75,0,Spring,begin,0,2017
2017-3-5,105,21986,301,405,online,338,48,0,Spring,begin,0,2017
2017-3-5,105,20003,301,405,online,750,207,0,Spring,begin,0,2017
2017-3-5,105,21651,308,404,online,634,32,0,Spring,begin,0,2017
2017-3-5,105,21124,307,403,online,855,100,0,Spring,begin,0,2017
2017-3-5,105,21183,307,403,online,430,36,0,Spring,begin,0,2017
2017-3-5,105,20003,301,405,online,753,205,0,Spring,begin,0,2017
2017-3-5,105,20085,301,405,online,850,54,0,Spring,begin,0,2017
2017-3-5,105,21866,308,404,online,766,108,0,Spring,begin,0,2017
2017-3-5,102,21325,303,401,offline,1199,78,0,Spring,begin,0,2017
2017-3-5,105,20768,308,404,online,1119,26,0,Spring,begin,0,2017
2017-3-5,105,20085,301,405,online,846,43,0,Spring,begin,0,2017
2017-3-5,105,20911,301,405,online,1039,8,0,Spring,begin,0,2017
2017-3-5,105,20768,308,404,online,1119,106,0,Spring,begin,0,2017
2017-3-5,105,21961,308,404,online,1392,214,0,Spring,begin,0,2017
2017-3-5,105,21061,308,404,online,756,219,0,Spring,begin,0,2017
2017-3-5,105,20544,307,403,online,533,37,0,Spring,begin,0,2017
2017-3-5,103,20227,308,404,offline,883,84,0,Spring,begin,0,2017
2017-3-5,103,20555,308,404,offline,853,65,0,Spring,begin,0,2017
2017-3-5,103,21592,307,403,offline,480,49,0,Spring,begin,0,2017
2017-3-5,105,20003,301,405,online,742,37,0,Spring,begin,0,2017
2017-3-5,105,21156,302,408,online,1283,224,0,Spring,begin,0,2017
2017-3-5,105,21840,302,408,online,1535,14,0,Spring,begin,0,2017
2017-3-5,105,20685,302,408,online,976,155,0,Spring,begin,0,2017
2017-3-5,105,20900,306,407,online,823,4,0,Spring,begin,0,2017
2017-3-5,105,21373,306,407,online,1029,24,0,Spring,begin,0,2017
2017-3-5,105,21103,306,407,online,723,57,0,Spring,begin,0,2017
2017-3-5,105,20413,306,407,online,778,105,0,Spring,begin,0,2017
2017-3-5,105,20885,306,407,online,624,59,0,Spring,begin,0,2017
2017-3-5,105,21869,306,407,online,951,505,0,Spring,begin,0,2017
2017-3-5,105,20058,303,401,online,1451,342,0,Spring,begin,0,2017
2017-3-5,105,21001,305,412,online,1329,25,0,Spring,begin,0,2017
2017-3-5,105,21169,305,412,online,809,48,0,Spring,begin,0,2017
2017-3-5,105,20413,306,407,online,904,30,0,Spring,begin,0,2017
2017-3-5,105,20105,305,412,online,719,31,0,Spring,begin,0,2017
2017-3-5,105,20206,305,412,online,881,227,0,Spring,begin,0,2017
2017-3-5,105,20581,305,412,online,429,93,0,Spring,begin,0,2017
2017-3-5,105,21598,305,412,online,536,24,0,Spring,begin,0,2017
2017-3-5,105,20351,305,412,online,1332,18,0,Spring,begin,0,2017
2017-3-5,105,20415,305,412,online,977,21,0,Spring,begin,0,2017
2017-3-5,105,20219,301,405,online,512,33,0,Spring,begin,0,2017
2017-3-5,105,20085,301,405,online,1056,62,0,Spring,begin,0,2017
2017-3-5,105,20911,301,405,online,1377,35,0,Spring,begin,0,2017
2017-3-5,105,21651,308,404,online,902,273,0,Spring,begin,0,2017
2017-3-5,105,20313,305,412,online,1073,136,0,Spring,begin,0,2017
2017-3-5,105,20877,308,404,online,610,158,0,Spring,begin,0,2017
2017-3-5,105,20568,306,407,online,997,88,0,Spring,begin,0,2017
2017-3-5,105,21133,306,407,online,1114,48,0,Spring,begin,0,2017
2017-3-5,105,21253,306,407,online,676,9,0,Spring,begin,0,2017
2017-3-5,105,21103,306,407,online,736,306,0,Spring,begin,0,2017
2017-3-5,105,21359,306,407,online,833,35,0,Spring,begin,0,2017
2017-3-5,105,20234,306,407,online,1118,61,0,Spring,begin,0,2017
2017-3-5,105,21210,306,407,online,916,19,0,Spring,begin,0,2017
2017-3-5,105,21026,306,407,online,742,73,0,Spring,begin,0,2017
2017-3-5,105,21881,306,407,online,599,55,0,Spring,begin,0,2017
2017-3-5,105,20139,306,407,online,558,27,0,Spring,begin,0,2017
2017-3-5,105,20650,306,407,online,811,30,0,Spring,begin,0,2017
2017-3-5,105,20885,306,407,online,631,55,0,Spring,begin,0,2017
2017-3-5,105,20116,306,407,online,737,31,0,Spring,begin,0,2017
2017-3-5,105,21913,306,407,online,1164,69,0,Spring,begin,0,2017
2017-3-5,105,20591,302,408,online,538,5,0,Spring,begin,0,2017
2017-3-5,105,20399,302,408,online,807,9,0,Spring,begin,0,2017
2017-3-5,105,20210,302,408,online,1037,21,0,Spring,begin,0,2017
2017-3-5,105,20582,302,408,online,897,23,0,Spring,begin,0,2017
2017-3-5,105,20248,306,402,online,316,10,0,Spring,begin,0,2017
2017-3-5,105,21619,306,402,online,276,104,0,Spring,begin,0,2017
2017-3-5,105,21212,306,407,online,735,28,0,Spring,begin,0,2017
2017-3-5,105,21253,306,407,online,665,5,0,Spring,begin,0,2017
2017-3-5,105,20560,306,407,online,854,45,0,Spring,begin,0,2017
2017-3-5,101,20932,303,401,offline,932,61,0,Spring,begin,0,2017
2017-3-5,101,20305,305,412,offline,692,22,0,Spring,begin,0,2017
2017-3-5,101,20688,303,401,offline,1337,51,0,Spring,begin,0,2017
2017-3-5,101,21297,306,407,offline,1203,102,0,Spring,begin,0,2017
2017-3-5,101,20584,306,407,offline,776,78,0,Spring,begin,0,2017
2017-3-5,101,21533,306,407,offline,1112,10,0,Spring,begin,0,2017
2017-3-5,102,20812,306,407,offline,428,374,0,Spring,begin,0,2017
2017-3-5,102,20916,306,407,offline,509,15,0,Spring,begin,0,2017
2017-3-5,102,21601,306,407,offline,545,8,0,Spring,begin,0,2017
2017-3-5,102,20996,306,407,offline,461,16,0,Spring,begin,0,2017
2017-3-5,103,21050,302,408,offline,1309,49,0,Spring,begin,0,2017
2017-3-5,103,21027,302,408,offline,895,51,0,Spring,begin,0,2017
2017-3-5,101,21284,306,407,offline,891,269,0,Spring,begin,0,2017
2017-3-5,103,21819,306,402,offline,275,61,0,Spring,begin,0,2017
2017-3-5,103,21712,306,407,offline,1328,32,0,Spring,begin,0,2017
2017-3-5,103,21599,306,407,offline,644,54,0,Spring,begin,0,2017
2017-3-5,103,21256,306,407,offline,480,185,0,Spring,begin,0,2017
2017-3-5,103,21780,306,407,offline,2192,6,0,Spring,begin,0,2017
2017-3-5,103,20573,306,407,offline,702,61,0,Spring,begin,0,2017
2017-3-5,103,20586,306,407,offline,1013,15,0,Spring,begin,0,2017
2017-3-5,103,20283,306,407,offline,607,57,0,Spring,begin,0,2017
2017-3-5,103,21533,306,407,offline,1146,24,0,Spring,begin,0,2017
2017-3-5,103,21271,306,407,offline,480,52,0,Spring,begin,0,2017
2017-3-5,103,20729,306,407,offline,1061,39,0,Spring,begin,0,2017
2017-3-5,103,21775,302,408,offline,1002,201,0,Spring,begin,0,2017
2017-3-5,101,20794,306,407,offline,1004,7,0,Spring,begin,0,2017
2017-3-5,101,21201,306,407,offline,623,184,0,Spring,begin,0,2017
2017-3-5,102,20977,302,408,offline,533,51,0,Spring,begin,0,2017
2017-3-5,102,21103,306,407,offline,722,108,0,Spring,begin,0,2017
2017-3-5,102,21902,308,404,offline,861,259,0,Spring,begin,0,2017
2017-3-5,102,20665,308,404,offline,537,102,0,Spring,begin,0,2017
2017-3-5,102,21804,307,403,offline,365,109,0,Spring,begin,0,2017
2017-3-5,102,21168,308,404,offline,2869,46,0,Spring,begin,0,2017
2017-3-5,102,20617,307,403,offline,362,103,0,Spring,begin,0,2017
2017-3-5,102,21168,308,404,offline,2865,12,0,Spring,begin,0,2017
2017-3-5,102,20555,308,404,offline,899,202,0,Spring,begin,0,2017
2017-3-5,101,21712,306,407,offline,1262,44,0,Spring,begin,0,2017
2017-3-5,102,20606,308,404,offline,1722,44,0,Spring,begin,0,2017
2017-3-5,101,21929,308,404,offline,1103,121,0,Spring,begin,0,2017
2017-3-5,102,20665,308,404,offline,540,208,0,Spring,begin,0,2017
2017-3-5,102,20575,308,404,offline,861,316,0,Spring,begin,0,2017
2017-3-5,103,21422,308,404,offline,739,363,0,Spring,begin,0,2017
2017-3-5,101,20932,303,401,offline,926,54,0,Spring,begin,0,2017
2017-3-5,101,20688,303,401,offline,1336,13,0,Spring,begin,0,2017
2017-3-5,101,21920,305,412,offline,790,204,0,Spring,begin,0,2017
2017-3-5,101,22054,302,408,offline,789,129,0,Spring,begin,0,2017
2017-3-5,101,21819,306,402,offline,271,208,0,Spring,begin,0,2017
2017-3-5,102,22047,306,407,offline,1048,55,0,Spring,begin,0,2017
2017-3-5,102,21088,301,405,offline,772,33,0,Spring,begin,0,2017
2017-3-5,103,20203,302,408,offline,1405,47,0,Spring,begin,0,2017
2017-3-5,103,21050,302,408,offline,1303,109,0,Spring,begin,0,2017
2017-3-5,103,20719,307,403,offline,634,58,0,Spring,begin,0,2017
2017-3-5,103,21073,307,403,offline,631,55,0,Spring,begin,0,2017
2017-3-5,103,21470,307,403,offline,490,309,0,Spring,begin,0,2017
2017-3-5,103,21731,301,405,offline,419,126,0,Spring,begin,0,2017
2017-3-5,103,21986,301,405,offline,331,156,0,Spring,begin,0,2017
2017-3-5,103,21061,308,404,offline,764,76,0,Spring,begin,0,2017
2017-3-5,105,21550,301,405,offline,1525,27,0,Spring,begin,0,2017
2017-3-5,105,20665,308,404,offline,904,47,0,Spring,begin,0,2017
2017-3-5,105,21929,308,404,offline,843,49,0,Spring,begin,0,2017
2017-3-5,103,20033,307,403,offline,1154,35,0,Spring,begin,0,2017
2017-3-5,105,20719,307,403,offline,966,36,0,Spring,begin,0,2017
2017-3-5,102,21310,302,408,offline,1436,21,0,Spring,begin,0,2017
2017-3-5,102,20733,302,408,offline,1511,86,0,Spring,begin,0,2017
2017-3-5,101,21088,301,405,offline,861,13,0,Spring,begin,0,2017
2017-3-5,101,21470,307,403,offline,489,303,0,Spring,begin,0,2017
2017-3-5,101,21271,306,407,offline,467,478,0,Spring,begin,0,2017
2017-3-5,103,22054,302,408,offline,788,919,0,Spring,begin,0,2017
2017-3-5,103,21050,302,408,offline,1319,107,0,Spring,begin,0,2017
2017-3-5,103,20635,302,408,offline,1155,202,0,Spring,begin,0,2017
